,serial,telecode,name,name_abbr,name_pinyin
84,1862,XNV,孝南,xna,xiaonan
85,1866,XAW,犀浦东,xpd,xipudong
86,1926,XWN,襄州,xzh,xiangzhou
87,1959,YGS,永定,ydi,yongding
88,1960,WLQ,阳东,ydo,yangdong
89,1965,YYM,永丰营,yfy,yongfengying
90,1971,YHP,沿河城,yhc,yanhecheng
91,1983,YIR,英吉沙,yjs,yingjisha
92,2001,YVV,阳明堡,ymb,yangmingbu
93,2029,YSX,榆树屯,yst,yushutun
94,2030,YUT,榆树台,yst,yushutai
95,2098,ZPR,泽普,zpu,zepu
96,2151,FGQ,八方山,bfs,bafangshan
97,2157,BOE,毕节,bji,bijie
98,2163,BPT,北票,bpi,beipiao
99,2164,BUB,宝清,bqi,baoqing
100,2166,BSN,白沙铺,bsp,baishapu
101,2179,BXY,彬州,bzh,binzhou
102,2202,CNE,长宁,cni,changning
103,2231,DRB,东二道河,deh,dongerdaohe
104,2267,IRQ,丹霞山,dxs,danxiashan
105,2271,DEE,大邑,dyi,dayi
106,2278,EMR,额敏,emi,emin
107,2290,FHA,福海西,fhx,fuhaixi
108,2297,FUY,佛坪,fpi,foping
109,2306,FTU,凤台南,ftn,fengtainan
110,2322,GBN,谷城北,gcb,guchengbei
111,2355,GOU,灌云,gyu,guanyun
112,2362,QAP,怀安,han,huaian
113,2367,SER,霍城,hch,huocheng
114,2368,HUL,珲春,hch,hunchun
115,2393,VQP,怀来,hla,huailai
116,2420,HVP,黑山寺,hss,heishansi
117,2425,IYN,槐荫,hyi,huaiyin
118,2426,KXY,鄠邑,hyi,huyi
119,2437,JDU,建德,jde,jiande
120,2448,VNK,莒南北,jnb,junanbei
121,2461,JSG,吉水西,jsx,jishuixi
122,2512,BNQ,麓谷,lgu,lugu
123,2552,LZE,阆中,lzh,langzhong
124,2556,MUB,帽儿山西,mex,mershanxi
125,2594,NDQ,南江口,njk,nanjiangkou
126,2600,TLP,南堡北,npb,nanpubei
127,2607,NYF,南阳寨,nyz,nanyangzhai
128,2616,PJE,蒲江,pji,pujiang
129,2624,PSE,屏山,psh,pingshan
130,2639,QCE,青川,qch,qingchuan
131,2643,QOU,启东,qdo,qidong
132,2651,QIM,曲江,qji,qujiang
133,2655,QEJ,清水北,qsb,qingshuibei
134,2663,QXE,黔西,qxi,qianxi
135,2698,OHB,双龙湖,slh,shuanglonghu
136,2718,KUQ,松山湖北,ssb,songshanhubei
137,2748,SZA,桑植,szh,sangzhi
138,2765,TJN,天河机场,thc,tianhejichang
139,2771,TVC,托克托东,tkd,tuoketuodong
140,2792,WWN,武当山西,wdx,wudangshanxi
141,2802,WFN,乌龙泉南,wln,wulongquannan
142,2803,VLT,乌兰木图,wlt,wulanmutu
143,2818,WYG,婺源,wyu,wuyuan
144,2836,XGG,新干东,xgd,xingandong
145,2848,NKQ,小金口,xjk,xiaojinkou
146,2857,EGQ,西平西,xpx,xipingxi
147,2862,XNE,兴文,xwe,xingwen
148,2899,AGV,阳高南,ygn,yanggaonan
149,2907,YIF,鄢陵,yli,yanling
150,2914,AMM,元谋西,ymx,yuanmouxi
151,2916,ANM,云南驿,yny,yunnanyi
152,2917,ADS,延平东,ypd,yanpingdong
153,2918,YPS,延平,ypi,yanping
154,2919,KPQ,银瓶,ypi,yinping
155,2920,YWS,延平西,ypx,yanpingxi
156,2925,ARM,永仁,yre,yongren
157,2926,YBU,颍上北,ysb,yingshangbei
158,2949,IZJ,榆中,yzh,yuzhong
159,2953,ZER,准东,zdo,zhundong
160,2955,ZEC,准格尔,zge,zhungeer
161,2982,ZXE,镇雄,zxi,zhenxiong
